,vanilla msg model,,,"modified msg model(width=1.5,deepth=1,res=True)",,,"modified msg model(width=1,deepth=1,res=False)",,,"modified msg model(width=1,deepth=1,res=True)",,,"modified msg model(width=0.8,deepth=1,res=False)",,
epoch,train_instance_acc,test_instance_acc,class_acc,train_instance_acc,test_instance_acc,class_acc,train_instance_acc,test_instance_acc,class_acc,train_instance_acc,test_instance_acc,class_acc,train_instance_acc,test_instance_acc,class_acc
1/50,0.732622,0.84284,0.80423,0.427033,0.698136,0.590775,0.640854,0.853728,0.7806,0.477134,0.72812,0.657166,0.399085,0.707455,0.593668
2/50,0.824593,0.848908,0.817135,0.608537,0.756483,0.651999,0.743699,0.862642,0.791678,0.673069,0.823744,0.734646,0.689431,0.819579,0.741973
3/50,0.837093,0.876011,0.828232,0.646443,0.813209,0.742205,0.75935,0.867909,0.809616,0.71128,0.850891,0.791802,0.782825,0.857605,0.804003
4/50,0.847358,0.876214,0.828232,0.679167,0.822934,0.753712,0.764024,0.863857,0.81057,0.727947,0.838331,0.791802,0.802947,0.86165,0.82006
5/50,0.851829,0.8839,0.831019,0.696138,0.850891,0.784502,0.840244,0.881068,0.829438,0.747967,0.849271,0.791802,0.815447,0.891586,0.84596
6/50,0.852947,0.888754,0.847512,0.704675,0.862237,0.806708,0.843089,0.889563,0.837786,0.752033,0.871961,0.808955,0.826016,0.890372,0.84596
7/50,0.854268,0.890574,0.847512,0.721646,0.841572,0.806708,0.849492,0.88754,0.837786,0.762398,0.8594,0.808955,0.829878,0.889968,0.84596
8/50,0.857825,0.885113,0.847512,0.734756,0.851702,0.806708,0.856402,0.893608,0.837786,0.763313,0.861831,0.808955,0.833537,0.895227,0.849501
9/50,0.859248,0.884506,0.847512,0.740346,0.861831,0.806708,0.858232,0.894013,0.850139,0.773882,0.886548,0.83228,0.845224,0.893608,0.849501
10/50,0.857622,0.895833,0.849375,0.718394,0.826175,0.776688,0.864939,0.887136,0.850139,0.778963,0.850891,0.83228,0.842581,0.886327,0.849501
11/50,0.861789,0.88127,0.849375,0.731199,0.852107,0.800011,0.856606,0.89199,0.853967,0.776728,0.877229,0.83228,0.844207,0.873786,0.849501
12/50,0.869207,0.888956,0.854959,0.738415,0.85859,0.800011,0.859146,0.896845,0.853967,0.77622,0.877634,0.83228,0.84502,0.900485,0.849517
13/50,0.869512,0.891383,0.857289,0.747663,0.860616,0.800011,0.86687,0.889563,0.853967,0.782317,0.88047,0.83228,0.854573,0.894013,0.857511
14/50,0.864329,0.894822,0.857289,0.747358,0.86953,0.814493,0.864939,0.897249,0.855016,0.77937,0.873177,0.83228,0.853963,0.890777,0.857511
15/50,0.869614,0.897856,0.857289,0.758435,0.8594,0.814493,0.86748,0.891586,0.855016,0.785467,0.871151,0.83228,0.854776,0.896845,0.857511
16/50,0.872459,0.89907,0.860304,0.760366,0.861831,0.822968,0.872358,0.887136,0.855016,0.792683,0.880875,0.837669,0.853963,0.903317,0.864425
17/50,0.870833,0.884304,0.850333,0.762805,0.873177,0.822968,0.866057,0.895631,0.8622,0.79126,0.877229,0.837669,0.853862,0.890777,0.864425
18/50,0.875711,0.889765,0.850333,0.765346,0.861831,0.822968,0.866972,0.89644,0.8622,0.797561,0.877634,0.837669,0.85376,0.887945,0.864425
19/50,0.873374,0.89644,0.860885,0.771646,0.861021,0.822968,0.870427,0.890372,0.8622,0.796138,0.878039,0.837669,0.857215,0.89199,0.864425
20/50,0.873476,0.885113,0.860885,0.777033,0.871151,0.822968,0.865752,0.903722,0.8622,0.810671,0.896677,0.859849,0.853862,0.888754,0.864425
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
test_acc,,0.885113,0.860885,,0.871151,0.822968,,0.903722,0.8622,,0.896677,0.859849,,0.903317,0.864425
This is the test accuracy for the first 20 epochs,,,,,,,,,,,,,,,
